"unitPrice","retailPrice","term","skuId","armSkuName","productName","skuName"
"5.2288444","5.2288444","3 Years","DZH318Z09JCN/00K0","Standard_NV72ads_A10_v5","Virtual Machines NVadsA10v5 Series","Standard_NV72ads_A10_v5"
"7.0554224","7.0554224","1 Year","DZH318Z09JCN/00K0","Standard_NV72ads_A10_v5","Virtual Machines NVadsA10v5 Series","Standard_NV72ads_A10_v5"
"0.2878272","0.2878272","3 Years","DZH318Z08M9J/00K6","Standard_E8_v5","Virtual Machines Ev5 Series","Standard_E8_v5"
"0.4111296","0.4111296","1 Year","DZH318Z08M9J/00K6","Standard_E8_v5","Virtual Machines Ev5 Series","Standard_E8_v5"
"1.9771824","1.9771824","3 Years","DZH318Z096SN/01MH","Standard_E48ds_v5","Virtual Machines Edsv5 Series","E48ds v5"
"2.84412","2.84412","1 Year","DZH318Z096SN/01MH","Standard_E48ds_v5","Virtual Machines Edsv5 Series","E48ds v5"
"0.504896","0.504896","3 Years","DZH318Z0D1L4/00JH","Standard_D16_v4","Virtual Machines Dv4 Series","D16 v4"
"0.703248","0.703248","1 Year","DZH318Z0D1L4/00JH","Standard_D16_v4","Virtual Machines Dv4 Series","D16 v4"
"1.2157263","1.2157263","3 Years","DZH318Z0BQ4Z/0046","Standard_NC12","Virtual Machines NC Series","NC12"
"1.6482645","1.6482645","1 Year","DZH318Z0BQ4Z/0046","Standard_NC12","Virtual Machines NC Series","NC12"
"0.0597756","0.0597756","3 Years","DZH318Z092SF/0037","Standard_D2pds_v5","Virtual Machines Dpdsv5 Series","Standard_D2pds_v5"
"0.0833087","0.0833087","1 Year","DZH318Z092SF/0037","Standard_D2pds_v5","Virtual Machines Dpdsv5 Series","Standard_D2pds_v5"
"1.5594984","1.5594984","3 Years","DZH318Z093WZ/011W","Standard_E48as_v5","Virtual Machines Easv5 Series","E48as v5"
"2.2200576","2.2200576","1 Year","DZH318Z093WZ/011W","Standard_E48as_v5","Virtual Machines Easv5 Series","E48as v5"
"4.9798856","4.9798856","3 Years","DZH318Z09B68/002Q","Standard_EC96ias_v5","ECasv5-series Linux","Standard_EC96ias_v5"
"6.1033258","6.1033258","1 Year","DZH318Z09B68/002Q","Standard_EC96ias_v5","ECasv5-series Linux","Standard_EC96ias_v5"
"0.5459","0.5459","3 Years","DZH318Z08W2R/002D","Standard_D16ads_v5","Virtual Machines Dadsv5 Series","Standard_D16ads_v5"
"0.7623","0.7623","1 Year","DZH318Z08W2R/002D","Standard_D16ads_v5","Virtual Machines Dadsv5 Series","Standard_D16ads_v5"
"3.3084347","3.3084347","3 Years","DZH318Z0BQ5B/0029","Standard_ND12s","Virtual Machines NDS Series","ND12s"
"4.4641612","4.4641612","1 Year","DZH318Z0BQ5B/0029","Standard_ND12s","Virtual Machines NDS Series","ND12s"
"3.2670163","3.2670163","3 Years","DZH318Z0BQ4W/003L","Standard_M64s","Virtual Machines MS Series","M64s"
"6.4415963","6.4415963","1 Year","DZH318Z0BQ4W/003L","Standard_M64s","Virtual Machines MS Series","M64s"
"3.2670163","3.2670163","3 Years","DZH318Z0BQ4W/05K1","Standard_M64","Virtual Machines MS Series","M64"
"6.4415963","6.4415963","1 Year","DZH318Z0BQ4W/05K1","Standard_M64","Virtual Machines MS Series","M64"
"14.1552045","14.1552045","3 Years","DZH318Z0CTQD/009S","Msmv2MedMem Type1","MSv2 Series Dedicated Host","Msmv2MedMem Type1"
"27.9099045","27.9099045","1 Year","DZH318Z0CTQD/009S","Msmv2MedMem Type1","MSv2 Series Dedicated Host","Msmv2MedMem Type1"
"4.658368","4.658368","3 Years","DZH318Z08NR6/0009","Lsv3_Type1","Lsv3 Series Dedicated Host","Lsv3 Type1"
"6.6544192","6.6544192","1 Year","DZH318Z08NR6/0009","Lsv3_Type1","Lsv3 Series Dedicated Host","Lsv3 Type1"
"0.126224","0.126224","3 Years","DZH318Z08M9W/008H","Standard_D4s_v5","Virtual Machines Dsv5 Series","Standard_D4s_v5"
"0.175812","0.175812","1 Year","DZH318Z08M9W/008H","Standard_D4s_v5","Virtual Machines Dsv5 Series","Standard_D4s_v5"
"3.1189968","3.1189968","3 Years","DZH318Z093WZ/013Z","Standard_E96as_v5","Virtual Machines Easv5 Series","E96as v5"
"4.4401152","4.4401152","1 Year","DZH318Z093WZ/013Z","Standard_E96as_v5","Virtual Machines Easv5 Series","E96as v5"
"0.161634","0.161634","3 Years","DZH318Z092S2/00L4","Standard_D8pls_v5","Virtual Machines Dplsv5 Series","Standard_D8pls_v5"
"0.230671","0.230671","1 Year","DZH318Z092S2/00L4","Standard_D8pls_v5","Virtual Machines Dplsv5 Series","Standard_D8pls_v5"
"0.2599164","0.2599164","3 Years","DZH318Z093WZ/012D","Standard_E8-2as_v5","Virtual Machines Easv5 Series","E8-2as v5"
"0.3700096","0.3700096","1 Year","DZH318Z093WZ/012D","Standard_E8-2as_v5","Virtual Machines Easv5 Series","E8-2as v5"
"0.504896","0.504896","3 Years","DZH318Z08M9X/00P7","Standard_D16_v5","Virtual Machines Dv5 Series","Standard_D16_v5"
"0.703248","0.703248","1 Year","DZH318Z08M9X/00P7","Standard_D16_v5","Virtual Machines Dv5 Series","Standard_D16_v5"
"0.080817","0.080817","3 Years","DZH318Z092S2/00LC","Standard_D4pls_v5","Virtual Machines Dplsv5 Series","Standard_D4pls_v5"
"0.1153355","0.1153355","1 Year","DZH318Z092S2/00LC","Standard_D4pls_v5","Virtual Machines Dplsv5 Series","Standard_D4pls_v5"
"3.78696","3.78696","3 Years","DZH318Z08NR9/006L","Standard_L80as_v3","Lasv3 Series Linux","Standard_L80as_v3"
"5.40888","5.40888","1 Year","DZH318Z08NR9/006L","Standard_L80as_v3","Lasv3 Series Linux","Standard_L80as_v3"
"0.0709435","0.0709435","3 Years","DZH318Z0CF0K/004H","Standard_DC1s_v2","Virtual Machines DCSv2 Series","DC1s v2"
