"skuId","retailPrice","productName","armSkuName","skuName"
"DZH318Z09B6B/001S","2.003434","DCasv5-series Windows","Standard_DC48as_v5","Standard_DC48as_v5 Spot"
"DZH318Z0CCGS/003G","0.069751","Virtual Machines DCSv2 Series Windows","Standard_DC4s_v2","DC4s v2 Spot"
"DZH318Z096SR/02FF","3.648","Virtual Machines Esv5 Series","Standard_E48s_v5","E48s v5"
"DZH318Z0K806/0005","3.974","Virtual Machines DCesv5 Series Windows","Standard_DC96es_v5","DC96esv5 Low Priority"
"DZH318Z0K804/002R","0.1088","Virtual Machines DCedsv5 Series","Standard_DC4eds_v5","DC4edsv5 Spot"
"DZH318Z0CGPM/000D","0.475","Virtual Machines NVasv4 Series Windows","Standard_NV4as_v4","NV4as v4"
"DZH318Z0BPW4/00K5","0.11739","Virtual Machines DS Series Windows","Standard_DS13","DS13 Spot"
"DZH318Z0BPRJ/007Z","0.183","Virtual Machines Av2 Series","Standard_A4_v2","A4 v2"
"DZH318Z0CM95/005C","0.248392","Virtual Machines Eav4 Series Windows","Standard_E20a_v4","E20a v4 Spot"
"DZH318Z0BQ4X/005N","0.388","Virtual Machines FSv2 Series","Standard_F8s_v2","F8s v2"
"DZH318Z092S1/006X","0.543","Virtual Machines Dplsv5 Series Windows","Standard_D16pls_v5","Standard_D16pls_v5 Low Priority"
"DZH318Z08M9K/0095","0.189","Virtual Machines Dlsv5 Series Windows","Standard_D2ls_v5","D2ls v5"
"DZH318Z08M9B/00G6","2.664","Virtual Machines Dldsv5 Series","Standard_D48lds_v5","D48lds v5"
"DZH318Z09B60/0037","5.208757","ECadsv5-series Windows","Standard_EC96iads_v5","Standard_EC96iads_v5 Spot"
